AverageResponsiblityUnderstanding,AverageConstrictiveUnderstanding,AverageSelectiveUnderstanding,AverageContrastiveUnderstanding
5,3,3.333333333,4.333333333
4.666666667,4.333333333,2.666666667,4
3.333333333,4,4,4
3.333333333,4.666666667,1.666666667,4.333333333
4.333333333,4.333333333,4,4.333333333
4,4.333333333,3.666666667,3.666666667
4.333333333,4.666666667,4.666666667,4.666666667
5,4.333333333,3,4.333333333
2.666666667,2.666666667,2.666666667,3
4.333333333,1.666666667,2.333333333,3.666666667
4.333333333,3.333333333,4,4
3,3.666666667,2.333333333,2.666666667
3.666666667,4,3.333333333,4
2.666666667,2.666666667,2.666666667,3
3,3,4,4
5,5,4.666666667,5
3.333333333,3.333333333,4,3.333333333
5,5,5,5
3.666666667,3.666666667,4.333333333,3.333333333
4.666666667,4.666666667,3.666666667,4
4.333333333,4,4.333333333,3
4.333333333,3,3,3.333333333
3,3.666666667,3.333333333,3.333333333
3.333333333,3.333333333,4.333333333,3.333333333
3.333333333,3,3,2
2.666666667,1.666666667,3,1.666666667
3.666666667,2.666666667,2.666666667,3.333333333
4.333333333,4,4.333333333,3.333333333
3.666666667,2.333333333,3,2.666666667
4,2.666666667,3.666666667,3
3.666666667,4,3.333333333,3.666666667
3,3.666666667,3.666666667,3.333333333
4.333333333,5,5,5
2.666666667,3,3,2.666666667
4,3.666666667,4,4.333333333
4,3.666666667,3.333333333,4
3.666666667,4.333333333,3.333333333,4.333333333
3.333333333,3.333333333,3.666666667,4.333333333
4.333333333,5,3,3.666666667
5,5,4.666666667,5
5,3.666666667,2.333333333,3
2.333333333,2.666666667,3.333333333,2.666666667
4.333333333,4,4,4
2.666666667,2,2.666666667,2
3.666666667,3.333333333,4,4
4,4.333333333,2.666666667,2.666666667
3.666666667,4.333333333,4.666666667,4
3.666666667,3.666666667,3.666666667,4.666666667
4.333333333,3.666666667,3.666666667,3
3.666666667,3.666666667,4,4.333333333
2.333333333,2,2,2.333333333
2,2.333333333,2.666666667,1.666666667
4.333333333,4.333333333,2,4
4,4,3.666666667,3
2.333333333,2.333333333,2.333333333,1.333333333
3,2.666666667,2.666666667,3
2.333333333,3,3,4.666666667
3,1.666666667,2,1.666666667
4.333333333,5,4,5
4.666666667,5,3.333333333,2.666666667
4.666666667,5,5,5
4.333333333,4.333333333,3,4.666666667
4,3,4.666666667,3.333333333
4.666666667,5,3,3.666666667
4.666666667,3,1.666666667,1.666666667
3.666666667,3.666666667,3.666666667,3.666666667
5,5,3,4.666666667
5,5,3.666666667,4
3.666666667,4,4,3.666666667
3.666666667,4,2.666666667,4
4.666666667,4,3,3.333333333
2,3.333333333,2.666666667,4.333333333
1,1,1,1
3.333333333,4,4,3.333333333
3.333333333,3,2.666666667,3
3.333333333,3.666666667,3.666666667,4.333333333
4.333333333,4,4,4.666666667
3.666666667,4,4.333333333,4
2.666666667,2.333333333,2,2.666666667
2.666666667,2.666666667,2,2.333333333
4,2.333333333,2.333333333,5
2.666666667,2.666666667,3.333333333,2.666666667
5,5,2.333333333,3.666666667
3.666666667,2.666666667,3.666666667,3.333333333
4,2.666666667,3,3.333333333
2.666666667,3.333333333,3.333333333,3
4.666666667,5,3,5
4,4,4,4
3.666666667,3.666666667,4,3.666666667
4.666666667,5,5,5
5,5,2.333333333,3.333333333
4.333333333,4,4.666666667,4.333333333
2.333333333,4,3,2.666666667
4.333333333,3.666666667,4,4
3,3.333333333,4,4
4,3.666666667,3.333333333,5
4,4.333333333,4,3.666666667
4.666666667,4.666666667,3,3.666666667
4.333333333,4,4.666666667,3.666666667
4.666666667,4,4.333333333,4
